Conference,Subfield,Paper
MOD22,Data management systems,Juggler: Autonomous Cost Optimization and Performance Prediction of Big Data Applications
MOD22,Information systems applications,Sintel: A Machine Learning Framework to Extract Insights from Signals
MOD22,Data management systems,Sommelier: Curating DNN Models for the Masses
MOD22,Data management systems,Video-zilla: An Indexing Layer for Large-Scale Video Analytics
MOD22,Data management systems,Warper: Efficiently Adapting Learned Cardinality Estimators to Data and Workload Drifts
MOD22,Data management systems,TASTI: Semantic Indexes for Machine Learning-based Queries over Unstructured Data
MOD22,Data management systems,Givens QR Decomposition over Relational Databases
MOD22,Data management systems,Materialization and Reuse Optimizations for Production Data Science Pipelines
MOD22,Data management systems,Computing Complex Temporal Join Queries Efficiently
MOD22,Information systems applications,OTIF: Efficient Tracker Pre-processing over Large Video Datasets
MOD22,Information retrieval/Information systems applications,Controlled Intentional Degradation in Analytical Video Systems
MOD22,Information systems applications,SLAM: Efficient Sweep Line Algorithms for Kernel Density Visualization
MOD22,Information retrieval,T-LevelIndex: Towards Efficient Query Processing in Continuous Preference Space
MOD22,Data management systems,Scaling Equi-Joins
MOD22,Data management systems,HiEngine: How to Architect a Cloud-Native Memory-Optimized Database Engine
MOD22,Data management systems,KafkaDirect: Zero-copy Data Access for Apache Kafka over RDMA Networks
MOD22,Data management systems,Amazon Redshift Re-invented
MOD22,Data management systems,Remus: Efficient Live Migration for Distributed Databases with Snapshot Isolation
MOD22,Data management systems,Graph Pattern Matching in GQL and SQL/PGQ
MOD22,Data management systems/World Wide Web,Saga: A Platform for Continuous Construction and Serving of Knowledge at Scale
MOD22,Data management systems/Information systems applications,Intelligent Automated Workload Analysis for Database Replatforming
MOD22,Data management systems,ESDB: Processing Extremely Skewed Workloads in Real-time
MOD22,Data management systems,Deploying a Steered Query Optimizer in Production at Microsoft
MOD22,Data management systems,Enabling the Next Generation of Multi-Region Applications with CockroachDB
MOD22,Data management systems,Photon: A Fast Query Engine for Lakehouse Systems
MOD22,Data management systems,Cloud-Native Transactions and Analytics in SingleStore
SAC22,Information retrieval,Residual size is not enough for anomaly detection: improving detection performance using residual similarity in multivariate time series
SAC22,Information storage systems,On enduring more data through enabling page rewrite capability on multi-level-cell flash memory
SAC22,Information systems applications,SureSpace: orchestrating beacons and witnesses to certify device location
SAC22,Data management systems,Toward replicated and asynchronous data streams for edge-cloud applications
SAC22,Data management systems,Evaluating the integration of datasets
SAC22,Information systems applications,A graph-based blocking approach for entity matching using pre-trained contextual embedding models
SAC22,Data management systems,Indexer++: workload-aware online index tuning with transformers and reinforcement learning
SAC22,Information systems applications,Variable size segmentation for efficient representation and querying of non-uniform time series datasets
SAC22,Data management systems,Optimizing ADWIN for steady streams
SAC22,Information systems applications,pi-Lisco: parallel and incremental stream-based point-cloud clustering
SAC22,Data management systems/World Wide Web,Learning on streaming graphs with experience replay
SAC22,Information systems applications,Place embedding across cities in location-based social networks
SAC22,Information systems applications,An ETL-like platform for the processing of mobility data
SAC22,Information systems applications,Propagation measure on circulation graphs for tourism behavior analysis
SAC22,Information systems applications,A fast unsupervised assignment of ICD codes with clinical notes through explanations
SAC22,Information retrieval,CheReS: a deep learning-based multi-faceted system for similarity search of chest X-rays
SAC22,Information systems applications,Collaborative is better than adversarial: generative cooperative networks for topic clustering
SAC22,Information retrieval,Aspect based sentiment analysis in music: a case study with spotify
SAC22,Information retrieval,Query-relevant sentiment summarization based on facet identification and sentence clustering
SAC22,Data management systems,GraphSPARQL: a GraphQL interface for linked data
SAC22,Information retrieval,Linguistic characterization of answer passages for fact-seeking question answering
SAC22,Information retrieval,Named-entity recognition for a low-resource language using pre-trained language model
SAC22,Information retrieval,Practical and efficient out-of-domain detection with adversarial learning
SAC22,Information systems applications,Leveraging multimodal content for podcast summarization
SAC22,Information systems applications,An automatic approach to detect problems in Android builds through screenshot analysis
SAC22,Data management systems,Estimating the lifetime of transient context for adaptive caching in IoT applications
SAC22,Information systems applications,Automatic disease vector mosquitoes identification via hierarchical data stream classification
SAC22,Information systems applications,A comparison of spatio-temporal prediction methods: a parking availability case study
SAC22,Information systems applications,CAIBAL: cluster-attribute interdependency based automatic labeler
SAC22,Information storage systems,Enhanced configurable snapshot: snapshot-based fast booting on NAND flash with lifetime control
SAC22,Information storage systems,An efficient log-structured scheme for disk arrays
SAC22,World Wide Web,Predicting links in a social network based on recognised personalities
SAC22,World Wide Web/Information retrieval,Rating consistency is consistently underrated: an exploratory analysis of movie-tag rating inconsistency
SAC22,Information retrieval,Shap-enhanced counterfactual explanations for recommendations
SAC22,Information retrieval,GAN-based matrix factorization for recommender systems
SAC22,Information retrieval,IPreMom: a continual learning-based image rating framework for infant precious moments capturing
SAC22,Information retrieval,Are tags 'it?': analysis of the impact of tags on StackOverflow questions
SAC22,Information storage systems,Optimized flight safety event detection in the national general aviation flight information database
SAC22,World Wide Web,An architecture for data integrity in untrustworthy social networks
SAC22,Information systems applications,Combining clutter reduction methods for temporal network visualization
